"rules","support","confidence","coverage","lift","count"
"{STICLA BERE 400ML HEINEKEN} => {BERE HEINEKEN STICLA 400ML}",0.00012144906079393,1,0.00012144906079393,3232,42
"{BERE HEINEKEN STICLA 400ML} => {STICLA BERE 400ML HEINEKEN}",0.00012144906079393,0.392523364485981,0.000309405940594059,3232,42
"{SKANDI PARADE} => {SKANDI CORVIN}",0.000112774127880078,0.464285714285714,0.00024289812158786,196.766106442577,39
"{MARLBORO FILTERS PLUS 100 6MG} => {PALL MALL BLUE}",0.000161932081058573,0.602150537634409,0.000268922920329416,149.488950126979,56
"{MARLBORO FILTERS PLUS 100 6MG} => {APA MINERALA NATURALA CARBOGAZIFICATA TUSNAD 2L}",0.000101207550661608,0.376344086021505,0.000268922920329416,51.2800698204496,35
"{MARLBORO FILTERS PLUS 100 6MG} => {APA MINERALA NATURALA CARBOGAZIFICATA CONTINUT REDUS CO2 TUSNAD 2L}",0.00012144906079393,0.451612903225806,0.000268922920329416,7.58258875783664,42
"{SET CAPACE CU FILET 6.6CM 20BUC} => {BORCAN 370ML}",0.000112774127880078,0.354545454545455,0.000318080873507912,822.888102501525,39
"{BORCAN 370ML} => {SET CAPACE CU FILET 6.6CM 20BUC}",0.000112774127880078,0.261744966442953,0.000430855001387989,822.888102501525,39
"{DENIS ICE TEA CU GUST DE PERE 1.5L} => {APA MINERALA NATURALA NATURAL CARBOGAZOASA BORSEC 1.5L}",0.000133015638012399,0.567901234567901,0.000234223188674008,313.227873274657,46
"{MIX DE SUC DE FRUCTE CU BERE FARA ALCOOL ZMEURA&COACAZE DOZA FRESH 500ML} => {MIX DE SUC DE FRUCTE CU BERE FARA ALCOOL MAR&PERE DOZA FRESH 500ML}",0.000130123993707782,0.454545454545455,0.00028627278615712,976.352343308865,45
"{MIX DE SUC DE FRUCTE CU BERE FARA ALCOOL MAR&PERE DOZA FRESH 500ML} => {MIX DE SUC DE FRUCTE CU BERE FARA ALCOOL ZMEURA&COACAZE DOZA FRESH 500ML}",0.000130123993707782,0.279503105590062,0.000465554733043398,976.352343308865,45
"{DENIS ICE TEA CU GUST DE PIERSICI 1.5L} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000101207550661608,0.393258426966292,0.000257356343110947,4.77773413831692,35
"{SCHWEPPES GUST DE RODIE 500ML} => {WINSTON BLUE 100}",0.000138798926621634,0.345323741007194,0.000401938558341815,165.174602226932,48
"{SCHWEPPES GUST DE RODIE 500ML} => {ENERGIZANT HELL 250ML}",0.000144582215230869,0.359712230215827,0.000401938558341816,31.5009172707415,50
"{BORCAN 370ML} => {CAPACE FILET MIC}",0.000219764967150921,0.51006711409396,0.000430855001387989,856.278881866163,76
"{CAPACE FILET MIC} => {BORCAN 370ML}",0.000219764967150921,0.368932038834951,0.00059567872675118,856.278881866163,76
"{BERE TILTOTT CSIKI VADMALNA CU VITAMINE STICLA 500ML} => {STICLA BERE 500ML CSIKI}",0.000138798926621634,0.355555555555556,0.000390371981123346,508.097704315886,48
"{STICLA BERE 500ML CSIKI} => {BERE TILTOTT CSIKI VADMALNA CU VITAMINE STICLA 500ML}",0.000138798926621634,0.198347107438017,0.000699777921717405,508.097704315886,48
"{_MARAR USCAT} => {_CIMBRU LEGATURA}",0.000147473859535486,0.53125,0.000277597853243268,998.472826086957,51
"{_CIMBRU LEGATURA} => {_MARAR USCAT}",0.000147473859535486,0.277173913043478,0.000532062552049597,998.472826086957,51
"{KNORR SUPA CR.DE CIUPERCI CU CASCAVAL BOGRES 17G} => {KNORR SUPA CREMA DE CASCAVAL BOGRES 22G}",0.000112774127880078,0.458823529411765,0.000245789765892477,1230.0169630643,39
"{KNORR SUPA CREMA DE CASCAVAL BOGRES 22G} => {KNORR SUPA CR.DE CIUPERCI CU CASCAVAL BOGRES 17G}",0.000112774127880078,0.302325581395349,0.000373022115295642,1230.0169630643,39
"{MAZARE KLEINE WUNDER KELVEDON KERTIMAG 250G} => {SEMINTE LEGUME GARDENSEED KERTIMAG}",0.000156148792449338,0.574468085106383,0.000271814564634033,172.153250488587,54
"{BAUTURA SPIRTOASA 28% VODKA KRESKOVA 500ML} => {CHIO BREZLI 500G}",0.000101207550661608,0.353535353535354,0.00028627278615712,1002.13942705746,35
"{CHIO BREZLI 500G} => {BAUTURA SPIRTOASA 28% VODKA KRESKOVA 500ML}",0.000101207550661608,0.286885245901639,0.00035278060516332,1002.13942705746,35
"{BAUTURA SPIRTOASA 28% VODKA KRESKOVA 500ML} => {APA MINERALA NATURALA DECARBOGAZIFICATA PARTIAL PERLA HARGHITEI 2L}",0.000159040436753956,0.555555555555556,0.00028627278615712,44.9098748116981,55
"{DR.OETKER PIKANT FIX IUTE 100G} => {DR.OETKER PIKANT FIX DULCE ACRISOR 100G}",0.000118557416489312,0.405940594059406,0.000292056074766355,303.861471861472,41
"{BAUTURA SPIRTOASA 28% CAVA DORO ORIGINAL 200ML} => {BERE BUCEGI DOZA 500ML}",0.000118557416489312,0.215789473684211,0.000549412417877302,22.4842358985744,41
"{DANONE CASA BUNA IAURT CAPSUNI 100G} => {DANONE CASA BUNA IAURT CAISE 100G}",0.000104099194966226,0.297520661157025,0.000349888960858703,857.414876033058,36
"{DANONE CASA BUNA IAURT CAISE 100G} => {DANONE CASA BUNA IAURT CAPSUNI 100G}",0.000104099194966226,0.3,0.000346997316554085,857.414876033058,36
"{DR.OETKER GELFIX EXTRA 2:1 25G} => {DR.OETKER GELFIX SUPER 3:1 25G}",0.000101207550661608,0.244755244755245,0.000413505135560285,141.305906113919,35
"{MIX DE SUC DE FRUCTE CU BERE FARA ALCOOL MAR&PERE DOZA FRESH 500ML} => {BERE GOLDEN BRAU DOZA 500ML}",0.000101207550661608,0.217391304347826,0.000465554733043398,21.2851445172091,35
"{WINSTON CASTER} => {APA MINERALA NATURALA CARBO.TIVA HARGHITA 2.5L}",0.000106990839270843,0.140684410646388,0.00076050245211437,17.8867814806531,37
"{HOHES C SUC PORTOCALE&MERE&MARACUJA&CURMALE&VIT.D 1L} => {LAPTE DE CONSUM 1.5% GRASIME FRISS CUTIE 1L}",0.000144582215230869,0.352112676056338,0.000410613491255668,10.6796188462118,50
"{BERE CIUC RADLER VISINE FARA ALC.DOZA 330ML} => {BERE CIUC RADLER ZMEURA&LAMAIE FARA ALC.DOZA 330ML}",0.00012144906079393,0.358974358974359,0.000338322383640233,358.79175930043,42
"{BERE CIUC RADLER ZMEURA&LAMAIE FARA ALC.DOZA 330ML} => {BERE CIUC RADLER VISINE FARA ALC.DOZA 330ML}",0.00012144906079393,0.121387283236994,0.00100050892939761,358.79175930043,42
"{CHIO BREZLI 500G} => {APA MINERALA NATURALA DECARBOGAZIFICATA PARTIAL PERLA HARGHITEI 2L}",0.000133015638012399,0.377049180327869,0.00035278060516332,30.4798166754803,46
"{BAUTURA SPIRTOASA 21% LEMON AMIGO 500ML PET} => {ELAN FRANZELA ALBA FELIATA 700G}",0.000138798926621634,0.159468438538206,0.000870384935689831,35.2383471495441,48
"{STICLA BERE 500ML AMIGO} => {BERE HARGHITA 500ML STICLA}",0.000106990839270843,0.237179487179487,0.000451096511520311,308.354732986312,37
"{BERE HARGHITA 500ML STICLA} => {STICLA BERE 500ML AMIGO}",0.000106990839270843,0.139097744360902,0.000769177385028223,308.354732986312,37
"{STICLA BERE 500ML AMIGO} => {BERE CIUC BLONDA 500ML STICLA}",0.000106990839270843,0.237179487179487,0.000451096511520311,278.041894828336,37
"{BERE CIUC BLONDA 500ML STICLA} => {STICLA BERE 500ML AMIGO}",0.000106990839270843,0.125423728813559,0.000853035069862126,278.041894828336,37
"{HEETS BLUE LABEL} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000153257148144721,0.240909090909091,0.000636161747015823,2.92682752343388,53
"{DR.OETKER ZAHAR VANILIAT 6*8G 5+1 GRATIS} => {DR.OETKER PRAF DE COPT 6*10G 5+1 GRATIS}",0.000104099194966226,0.315789473684211,0.000329647450726381,910.063157894737,36
"{DR.OETKER PRAF DE COPT 6*10G 5+1 GRATIS} => {DR.OETKER ZAHAR VANILIAT 6*8G 5+1 GRATIS}",0.000104099194966226,0.3,0.000346997316554085,910.063157894737,36
"{BENSON&HEDGES BLACK 100} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000101207550661608,0.14,0.000722911076154344,1.70087335324082,35
"{KNORR SUPA CREMA DE PUI CU CRUTOANE BOGRES 16G} => {KNORR SUPA CREMA DE CASCAVAL BOGRES 22G}",0.000135907282317017,0.37007874015748,0.000367238826686407,992.109381676128,47
"{KNORR SUPA CREMA DE CASCAVAL BOGRES 22G} => {KNORR SUPA CREMA DE PUI CU CRUTOANE BOGRES 16G}",0.000135907282317017,0.364341085271318,0.000373022115295642,992.109381676128,47
"{APA PLATA PERLA MOLDOVEI ALCALINIA 6.2L} => {APA MINERALA NATURALA CARBOGAZIFICATA CONTINUT REDUS CO2 TUSNAD 2L}",0.000167715369667808,0.18125,0.000925326177477561,3.04319075593533,58
"{KINDER DELICE PRAJITURA DE CACAO CU UMPL.CU CREME DE NUCA DE COCOS 37G} => {KINDER DELICE PRAJITURA DE CACAO CU UMPLUTURA DE LAPTE 39G}",0.000106990839270843,0.293650793650794,0.00036434718238179,179.419597285322,37
"{MARLBORO CIGARILLOS FOREST MIST} => {ENERGIZANT HELL RED GRAPE 250ML}",0.000292056074766355,0.537234042553192,0.000543629129268067,235.772113619181,101
"{ENERGIZANT HELL RED GRAPE 250ML} => {MARLBORO CIGARILLOS FOREST MIST}",0.000292056074766355,0.128172588832487,0.00227861571203849,235.772113619181,101
"{MARLBORO CIGARILLOS FOREST MIST} => {BATON DE CIOCOLATA SNICKERS CLASIC 50G}",0.000167715369667808,0.308510638297872,0.000543629129268067,210.020438934495,58
"{BATON DE CIOCOLATA SNICKERS CLASIC 50G} => {MARLBORO CIGARILLOS FOREST MIST}",0.000167715369667808,0.114173228346457,0.00146895530674563,210.020438934495,58
"{MARLBORO CIGARILLOS FOREST MIST} => {PAINE CU SEMINTE COUNTRY 500G}",0.000173498658277043,0.319148936170213,0.000543629129268067,61.3163120567376,60
"{IAURT CU FRUCTE DE PADURE FRISS 125G} => {IAURT CU CAPSUNI FRISS 125G}",0.000127232349403165,0.309859154929577,0.000410613491255668,776.498060828741,44
"{IAURT CU CAPSUNI FRISS 125G} => {IAURT CU FRUCTE DE PADURE FRISS 125G}",0.000127232349403165,0.318840579710145,0.000399046914037198,776.498060828741,44
"{HRANA COMPLETA PENTRU PISICI ADULTE CU VITA PREVITAL 100G} => {HRANA COMPLETA PENTRU PISICI ADULTE STERILIZATE CU FICAT PREVITAL 100G}",0.000115665772184695,0.28169014084507,0.000410613491255668,446.858767282595,40
"{HRANA COMPLETA PENTRU PISICI ADULTE STERILIZATE CU FICAT PREVITAL 100G} => {HRANA COMPLETA PENTRU PISICI ADULTE CU VITA PREVITAL 100G}",0.000115665772184695,0.18348623853211,0.000630378458406588,446.858767282595,40
"{HEETS BRONZE LABEL} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000153257148144721,0.208661417322835,0.000734477653372814,2.53504746124195,53
"{BERE TILTOTT CSIKI KREM SOR 4.5% 500ML} => {STICLA BERE 500ML CSIKI}",0.000112774127880078,0.183098591549296,0.000615920236883501,261.652426958445,39
"{STICLA BERE 500ML CSIKI} => {BERE TILTOTT CSIKI KREM SOR 4.5% 500ML}",0.000112774127880078,0.161157024793388,0.000699777921717405,261.652426958445,39
"{BERE TILTOTT CSIKI KREM SOR 4.5% 500ML} => {BERE TILTOTT IGAZI SOR 6% 500ML}",0.000112774127880078,0.183098591549296,0.000615920236883501,76.56576459969,39
"{PASTA DE TON CU LEGUME HAME 100G} => {PASTA DE TON HAME 100G}",0.00012144906079393,0.295774647887324,0.000410613491255668,74.0130042192373,42
"{HOHES C SUC DIN FRUCTE MIXTE PLUS MAGNEZIUM 1L} => {LAPTE DE CONSUM 1.5% GRASIME FRISS CUTIE 1L}",0.000106990839270843,0.221556886227545,0.000482904598871102,6.71984639736489,37
"{HOHES C MILD JUICE MULTIVITAMIN 100% 1L} => {LAPTE DE CONSUM 1.5% GRASIME FRISS CUTIE 1L}",0.000115665772184695,0.21978021978022,0.000526279263440363,6.66595989521792,40
"{CERBONA TERCI DE OVAZ CU CIOCOLATA 55G} => {CERBONA TERCI DE OVAZ CU FRUCTE DE PADURE 55G}",0.000118557416489312,0.241176470588235,0.000491579531784954,284.657378036539,41
"{CERBONA TERCI DE OVAZ CU FRUCTE DE PADURE 55G} => {CERBONA TERCI DE OVAZ CU CIOCOLATA 55G}",0.000118557416489312,0.139931740614334,0.000847251781252892,284.657378036539,41
"{CERBONA TERCI DE OVAZ CU MANGO 50G} => {CERBONA TERCI DE OVAZ CU PRUNE 50G}",0.000124340705098547,0.380530973451327,0.000326755806421764,769.571598613052,43
"{CERBONA TERCI DE OVAZ CU PRUNE 50G} => {CERBONA TERCI DE OVAZ CU MANGO 50G}",0.000124340705098547,0.251461988304094,0.000494471176089572,769.571598613052,43
"{CERBONA TERCI DE OVAZ CU MANGO 50G} => {CERBONA TERCI DE OVAZ CU CAISE 50G}",0.000141690570926252,0.433628318584071,0.000326755806421764,789.258313926409,49
"{CERBONA TERCI DE OVAZ CU CAISE 50G} => {CERBONA TERCI DE OVAZ CU MANGO 50G}",0.000141690570926252,0.257894736842105,0.000549412417877302,789.258313926409,49
"{CERBONA TERCI DE OVAZ CU MANGO 50G} => {CERBONA TERCI DE OVAZ CU FRUCTE DE PADURE 55G}",0.00010988248357546,0.336283185840708,0.000326755806421764,396.910568123471,38
"{CERBONA TERCI DE OVAZ CU FRUCTE DE PADURE 55G} => {CERBONA TERCI DE OVAZ CU MANGO 50G}",0.00010988248357546,0.129692832764505,0.000847251781252892,396.910568123471,38
"{CERBONA BATON CEREALE FARA GLUTEN VISINE&CIOCOLATA 35G} => {CERBONA BATON CEREALE ZMEURA FARA GLUTEN 35G}",0.000101207550661608,0.198863636363636,0.000508929397612658,349.095523765575,35
"{CERBONA BATON CEREALE ZMEURA FARA GLUTEN 35G} => {CERBONA BATON CEREALE FARA GLUTEN VISINE&CIOCOLATA 35G}",0.000101207550661608,0.177664974619289,0.000569653928009623,349.095523765575,35
"{BATON CIOCOLATA SPORT DUO COCOS 60G} => {BATON CIOCOLATA SPORT XXL 51G}",0.000115665772184695,0.207253886010363,0.000558087350791154,123.574772199393,40
"{BERE NEUMARKT 2.5L PET} => {IAURT CU DIFERITE AROME SZIVECSKE ZOTT 125G}",0.000141690570926252,0.140401146131805,0.00100918386231146,133.757812561668,49
"{IAURT CU DIFERITE AROME SZIVECSKE ZOTT 125G} => {BERE NEUMARKT 2.5L PET}",0.000141690570926252,0.134986225895317,0.00104966688257611,133.757812561668,49
"{CHIO POPCORN MICROUNDE CASCAVAL 80G} => {CHIO POPCORN MICROUNDE UNT 80G}",0.000124340705098547,0.294520547945205,0.000422180068474137,504.219178082192,43
"{CHIO POPCORN MICROUNDE UNT 80G} => {CHIO POPCORN MICROUNDE CASCAVAL 80G}",0.000124340705098547,0.212871287128713,0.00058411214953271,504.219178082192,43
"{PAIE MAGICA CU AROMA DE VANILIE MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE CIOCOLATA MILKY SIP 5*6G}",0.000112774127880078,0.254901960784314,0.000442421578606459,591.618897223319,39
"{PAIE MAGICA CU AROMA DE CIOCOLATA MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE VANILIE MILKY SIP 5*6G}",0.000112774127880078,0.261744966442953,0.000430855001387989,591.618897223319,39
"{PAIE MAGICA CU AROMA DE VANILIE MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE BISCUITI MILKY SIP 5*6G}",0.000150365503840104,0.339869281045752,0.000442421578606459,652.971968046478,52
"{PAIE MAGICA CU AROMA DE BISCUITI MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE VANILIE MILKY SIP 5*6G}",0.000150365503840104,0.288888888888889,0.000520495974831128,652.971968046478,52
"{STORY} => {KISKEGYED}",0.000106990839270843,0.192708333333333,0.000555195706486536,307.111367127496,37
"{KISKEGYED} => {STORY}",0.000106990839270843,0.170506912442396,0.000627486814101971,307.111367127496,37
"{BERE FARA ALC.GUST DE GRAPEFRUIT URSUS COOLER DOZA 500ML} => {BERE FARA ALC.SI LIMONADA URSUS COOLER DOZA 500ML}",0.000106990839270843,0.194736842105263,0.000549412417877302,181.034069043577,37
"{KUBETI BARBEQUE 35G} => {KUBETI BACON 35G}",0.000115665772184695,0.229885057471264,0.000503146109003424,332.635021401433,40
"{KUBETI BACON 35G} => {KUBETI BARBEQUE 35G}",0.000115665772184695,0.167364016736402,0.000691102988803553,332.635021401433,40
"{IAURT CREMA PIURE CAPSUNI MULLER 125G} => {IAURT CREMA PIURE CIRESE MULLER 125G}",0.000138798926621634,0.352941176470588,0.000393263625427963,830.309723889556,48
"{IAURT CREMA PIURE CIRESE MULLER 125G} => {IAURT CREMA PIURE CAPSUNI MULLER 125G}",0.000138798926621634,0.326530612244898,0.000425071712778754,830.309723889556,48
"{PAIE MAGICA CU AROMA DE CIOCOLATA MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE BISCUITI MILKY SIP 5*6G}",0.000127232349403165,0.295302013422819,0.000430855001387989,567.347352721849,44
"{PAIE MAGICA CU AROMA DE BISCUITI MILKY SIP 5*6G} => {PAIE MAGICA CU AROMA DE CIOCOLATA MILKY SIP 5*6G}",0.000127232349403165,0.244444444444444,0.000520495974831128,567.347352721849,44
"{CAPPUCCINO VANILIE LA FESTA 12.5G PLIC} => {CAPPUCCINO CLASSIC LA FESTA 12.5G PLIC}",0.000106990839270843,0.266187050359712,0.000401938558341815,414.657074340528,37
"{CAPPUCCINO CLASSIC LA FESTA 12.5G PLIC} => {CAPPUCCINO VANILIE LA FESTA 12.5G PLIC}",0.000106990839270843,0.166666666666667,0.000641945035625058,414.657074340528,37
"{DANONE IAURT DELICIOS BISCUITI 400G} => {_BANANE}",0.000106990839270843,0.21264367816092,0.000503146109003424,3.91676630393192,37
"{CAPPUCCINO ROM LA FESTA 12.5G PLIC} => {CAPPUCCINO CLASSIC LA FESTA 12.5G PLIC}",0.000104099194966226,0.24,0.000433746645692607,373.863783783784,36
"{CAPPUCCINO CLASSIC LA FESTA 12.5G PLIC} => {CAPPUCCINO ROM LA FESTA 12.5G PLIC}",0.000104099194966226,0.162162162162162,0.000641945035625058,373.863783783784,36
"{BERE CIUC 0% ALC.GUST DE LAMAIE&LIME NATUR RADLER DOZA 330ML} => {BERE CIUC RADLER ZMEURA&LAMAIE FARA ALC.DOZA 330ML}",0.000190848524104747,0.392857142857143,0.000485796243175719,392.657308009909,66
"{BERE CIUC RADLER ZMEURA&LAMAIE FARA ALC.DOZA 330ML} => {BERE CIUC 0% ALC.GUST DE LAMAIE&LIME NATUR RADLER DOZA 330ML}",0.000190848524104747,0.190751445086705,0.00100050892939761,392.657308009909,66
"{BATON CIOCOLATA LAPTE UMPL.DE CREMA CARAMEL ROSHEN 40G} => {BATON CIOCOLATA CU LAPTE UMPL.DE CR.DE ZAHAR ARS ROSHEN 43G}",0.00010988248357546,0.197916666666667,0.000555195706486536,343.941373534338,38
"{BATON CIOCOLATA CU LAPTE UMPL.DE CR.DE ZAHAR ARS ROSHEN 43G} => {BATON CIOCOLATA LAPTE UMPL.DE CREMA CARAMEL ROSHEN 40G}",0.00010988248357546,0.190954773869347,0.000575437216618858,343.941373534338,38
"{ELAN PATE CU FICAT DE PASARE 156G} => {ELAN PATE CU FICAT DE PORC 156G}",0.000153257148144721,0.344155844155844,0.000445313222911076,783.008885850991,53
"{ELAN PATE CU FICAT DE PORC 156G} => {ELAN PATE CU FICAT DE PASARE 156G}",0.000153257148144721,0.348684210526316,0.000439529934301841,783.008885850991,53
"{BERE CIUCAS PET 2.25L} => {L&M RED KS 23 S}",0.000222656611455538,0.192982456140351,0.00115376607754233,52.6324644418617,77
"{MOUNTAIN DEW 2L} => {PALL MALL ASCEND ROSE GOLD}",0.000202415101323216,0.318181818181818,0.000636161747015823,220.510839861541,70
"{PALL MALL ASCEND ROSE GOLD} => {MOUNTAIN DEW 2L}",0.000202415101323216,0.140280561122244,0.00144293050800407,220.510839861541,70
"{MOUNTAIN DEW 2L} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000135907282317017,0.213636363636364,0.000636161747015823,2.59548855851684,47
"{BEIGLI CU MAC BACHUS 350G} => {BEIGLI CU NUCA BACHUS 350G}",0.000190848524104747,0.349206349206349,0.000546520773572684,589.092373209446,66
"{BEIGLI CU NUCA BACHUS 350G} => {BEIGLI CU MAC BACHUS 350G}",0.000190848524104747,0.321951219512195,0.000592787082446562,589.092373209446,66
"{BATON CIOCOLATA CU LAPTE UMPL.DE CR.DE ZAHAR ARS ROSHEN 43G} => {BATON CIOCOLATA CU UMPL.CU GUST DE CIOC.FONDANT ROSHEN 43G}",0.000127232349403165,0.221105527638191,0.000575437216618858,341.355348169419,44
"{BATON CIOCOLATA CU UMPL.CU GUST DE CIOC.FONDANT ROSHEN 43G} => {BATON CIOCOLATA CU LAPTE UMPL.DE CR.DE ZAHAR ARS ROSHEN 43G}",0.000127232349403165,0.196428571428571,0.000647728324234293,341.355348169419,44
"{APA MINERALA NATURALA CARBOGAZOASA AQUARIA 2L} => {BERE BUCEGI DOZA 500ML}",0.000228439900064773,0.330543933054393,0.000691102988803553,34.4411042797838,79
"{APA MINERALA NATURALA CARBOGAZOASA AQUARIA 2L} => {BERE GOLDEN BRAU DOZA 500ML}",0.000138798926621634,0.200836820083682,0.000691102988803553,19.6642674033463,48
"{VOGUE LA CIGARETTE IVOIRE} => {SZEKELYHON}",0.000147473859535486,0.136729222520107,0.00107858332562228,8.01563767567275,51
"{BERE 6% SZEKELY SOR 500ML} => {STICLA BERE 500ML CSIKI}",0.000127232349403165,0.159420289855072,0.000798093828074396,227.815546772069,44
"{STICLA BERE 500ML CSIKI} => {BERE 6% SZEKELY SOR 500ML}",0.000127232349403165,0.181818181818182,0.000699777921717405,227.815546772069,44
"{BERE 6% SZEKELY SOR 500ML} => {BERE TILTOTT IGAZI SOR 6% 500ML}",0.000138798926621634,0.173913043478261,0.000798093828074396,72.7246727301404,48
"{BERE 6% SZEKELY SOR 500ML} => {WINSTON NOVA BLUE 100}",0.000150365503840104,0.188405797101449,0.000798093828074396,48.550854230113,52
"{TELENOVELLA} => {MAGAZIN DE RECLAMA SI PUBLICITATE HETI HIRDETO}",0.00010988248357546,0.193877551020408,0.000566762283705006,24.4431316821296,38
"{NAPOLITANE CU CREMA DE CACAO SI LAPTE ROSHEN 72G} => {NAPOLITANE CU CREMA DE CIOCOLATA ROSHEN 72G}",0.000101207550661608,0.192307692307692,0.000526279263440363,168.793440062476,35
"{NAPOLITANE CU CREMA DE CACAO SI LAPTE ROSHEN 72G} => {NAPOLITANE CU CREMA DE LAPTE ROSHEN 72G}",0.000135907282317017,0.258241758241758,0.000526279263440363,199.344191522763,47
"{NAPOLITANE CU CREMA DE LAPTE ROSHEN 72G} => {NAPOLITANE CU CREMA DE CACAO SI LAPTE ROSHEN 72G}",0.000135907282317017,0.104910714285714,0.00129545664846858,199.344191522763,47
"{DR.OETKER BUDINCA CIOCOLATA NEAGRA 50G} => {DR.OETKER BUDINCA VANILIE 40G}",0.000141690570926252,0.328859060402685,0.000430855001387989,81.9361352339323,49
"{MARLBORO RED KS 10MG} => {APA MINERALA NATURALA NATURAL CARBOGAZOASA BORSEC STICLA 1L}",0.000106990839270843,0.114197530864198,0.00093689275469603,84.2052172997447,37
"{MARLBORO RED KS 10MG} => {PALL MALL EXTRA CUT BLUE}",0.000153257148144721,0.16358024691358,0.00093689275469603,20.1030473733625,53
"{MARLBORO RED KS 10MG} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.000199523457018599,0.212962962962963,0.00093689275469603,2.58730734950654,69
"{KETCHUP PICANT REGAL 450G} => {PAINE CU CARTOFI FELII BACHUS 1.2 KG}",0.00012144906079393,0.24,0.000506037753308041,2.91578289126998,42
"{PEPSI TWIST LEMON 500ML} => {WINSTON BLUE 100}",0.000106990839270843,0.121710526315789,0.000879059868603683,58.2163500036398,37
