"rules","support","confidence","coverage","lift","count"
"{STICLA BERE 400ML HEINEKEN} => {BERE HEINEKEN STICLA 400ML}",0.000112704340653993,1,0.000112704340653993,6229.81914893617,66
"{BERE HEINEKEN STICLA 400ML} => {STICLA BERE 400ML HEINEKEN}",0.000112704340653993,0.702127659574468,0.000160518303355686,6229.81914893617,66
"{BERE BLONDA BIRRA MORETTI STICLA 500ML} => {STICLA BERE 500ML AMIGO}",0.000114411982179053,0.697916666666667,0.000163933586405807,671.103602216749,67
"{STICLA BERE 500ML AMIGO} => {BERE BLONDA BIRRA MORETTI STICLA 500ML}",0.000114411982179053,0.110016420361248,0.00103995368876184,671.103602216749,67
"{BERE STAROPRAMEN STICLA 500ML} => {STICLA BERE 500ML AMIGO}",0.000100750849978569,0.52212389380531,0.000192963492331836,502.06456253542,59
"{BERE TUBORG DE LUXE GOLD STICLA 500ML} => {STICLA BERE 500ML AMIGO}",0.000114411982179053,0.592920353982301,0.000192963492331836,570.14111338768,67
"{STICLA BERE 500ML AMIGO} => {BERE TUBORG DE LUXE GOLD STICLA 500ML}",0.000114411982179053,0.110016420361248,0.00103995368876184,570.14111338768,67
"{BORCAN 720ML} => {CAPACE FILET MARE}",0.000112704340653993,0.536585365853659,0.000210039907582441,781.656716417911,66
"{CAPACE FILET MARE} => {BORCAN 720ML}",0.000112704340653993,0.164179104477612,0.000686471893074318,781.656716417911,66
"{MARLBORO FILTERS PLUS KS 6MG} => {LUCKY STRIKE RED}",0.000109289057603872,0.383233532934132,0.000285176134685102,478.513233660611,64
"{LUCKY STRIKE RED} => {MARLBORO FILTERS PLUS KS 6MG}",0.000109289057603872,0.136460554371002,0.000800883875253371,478.513233660611,64
"{CAMEL COMPACT BLUE} => {BERE BUCEGI 2.5L PET}",0.000112704340653993,0.452054794520548,0.000249315662658832,57.2873066080105,66
"{CAMEL COMPACT BLUE} => {PALL MALL S-LINE FLOW VIOLET/ROSE}",0.000145149529630142,0.582191780821918,0.000249315662658832,62.0894652020866,85
