"rules","support","confidence","coverage","lift","count"
"{BERE TILTOTT CSIKI PIMASZ IPA STICLA 500ML} => {STICLA BERE 500ML CSIKI}",0.00010602421826593,0.773049645390071,0.000137150594270607,271.152108422802,109
"{BERE NEFILTRATA CSIKI STICLA 500ML} => {STICLA BERE 500ML CSIKI}",0.000122560105518415,0.684782608695652,0.000178976662026891,240.191880646166,126
"{SOBRANIE COLLECTION BLACKS} => {VOGUE LA CIGARETTE IVOIRE}",0.000101160722015199,0.372759856630824,0.000271383090790775,384.761152135423,104
"{VOGUE LA CIGARETTE IVOIRE} => {SOBRANIE COLLECTION BLACKS}",0.000101160722015199,0.104417670682731,0.000968808453145563,384.761152135423,104
"{DR.OETKER VOPSEA PT.OUA VERDE 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML}",0.000134232496520168,0.92,0.000145904887521922,860.620236578708,138
"{DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA VERDE 10 OUA CARMIN 5ML}",0.000134232496520168,0.125568698817106,0.00106899647591062,860.620236578708,138
"{DR.OETKER VOPSEA PT.OUA GALBEN 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML}",0.000110887714516661,0.745098039215686,0.000148822985272361,697.007011721886,114
"{DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA GALBEN 10 OUA CARMIN 5ML}",0.000110887714516661,0.103730664240218,0.00106899647591062,697.007011721886,114
"{DR.OETKER VOPSEA PT.OUA VIOLET 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML}",0.000134232496520168,0.890322580645161,0.000150768383772653,832.858293463266,138
"{DR.OETKER VOPSEA PT.OUA ROSU 10 OUA CARMIN 5ML} => {DR.OETKER VOPSEA PT.OUA VIOLET 10 OUA CARMIN 5ML}",0.000134232496520168,0.125568698817106,0.00106899647591062,832.858293463266,138
